salesanalysis,Design,Category_Code,VOCNO,GROSS_WT1,NETVALUECC1
1,DIAMOND BRACELET,BR,106,1,1259.67
1,DIAMOND PENDANT,PN,106,1,1571.83
1,DIAMOND PENDANT,PN,107,1,1230.29
1,DIAMOND RING,RN,112,1,3672.5
1,DIAMOND RING,RN,77,1,1835
1,DIAMOND RING,RN,78,1,752.35
1,DIAMOND EARRING,ER,64,1,3500
1,DIAMOND EARRING,ER,80,1,3825
1,DIAMOND EARRING,ER,80,1,4015
1,DIAMOND EARRING,ER,72,1,4954.5
1,DIAMOND RING,RN,112,1,1673.52
1,DIAMOND RING,RN,112,1,1680.86
1,DIAMOND RING,RN,112,1,1170.73
1,DIAMOND RING,RN,112,1,994.57
1,DIAMOND RING,RN,112,1,1023.93
1,DIAMOND RING,RN,112,1,1923.08
1,DIAMOND RING,RN,112,1,1622.14
1,DIAMOND RING,RN,112,1,1512.04
1,DIAMOND RING,RN,112,1,1398.27
1,DIAMOND RING,RN,112,1,1453.32
1,DIAMOND RING,RN,112,1,836.76
1,DIAMOND RING,RN,112,1,822.08
1,GOLD RING,RN,112,1,1200.09
1,DIAMOND RING,RN,112,1,1009.25
1,GOLD RING,RN,112,1,1225.78
1,DIAMOND RING,RN,112,1,726.66
1,DIAMOND RING,RN,112,1,855.11
1,DIAMOND RING,RN,112,1,906.49
1,DIAMOND RING,RN,112,1,1721.23
1,DIAMOND RING,RN,112,1,1423.96
1,DIAMOND RING,RN,112,1,1512.04
1,DIAMOND RING,RN,112,1,1295.51
1,DIAMOND RING,RN,112,1,1034.94
1,DIAMOND RING,RN,112,1,1148.71
1,DIAMOND RING,RN,112,1,972.55
1,DIAMOND RING,RN,112,1,803.73
1,DIAMOND RING,RN,112,1,1148.71
1,DIAMOND RING,RN,112,1,1497.36
1,DIAMOND RING,RN,112,1,807.4
1,DIAMOND RING,RN,112,1,1468
1,DIAMOND RING,RN,112,1,1934.09
1,DIAMOND RING,RN,112,1,1137.7
1,DIAMOND RING,RN,112,1,1148.71
1,DIAMOND RING,RN,112,1,928.51
1,DIAMND RING,RN,112,1,1501.03
1,DIAMOND RING,RN,112,1,1890.05
1,DIAMOND PENDANT,PN,112,1,1945.1
1,DIAMOND PENDANT,PN,112,1,2224.02
1,DIAMOND PENDANT,PN,112,1,1882.71
1,DIAMOND PENDANT,PN,112,1,2044.19
1,DIAMOND PENDANT,PN,112,1,2139.61
1,DIAMOND PENDANT,PN,112,1,1978.13
1,DIAMOND PENDANT,PN,112,1,2139.61
1,DIAMOND PENDANT,PN,112,1,1985.47
1,DIAMOND PENDANT,PN,112,1,2385.5
1,DIAMOND PENDANT,PN,112,1,2003.82
1,DIAMOND PENDANT,PN,112,1,1291.84
1,DIAMOND PENDANT,PN,112,1,1658.84
1,DIAMOND PENDANT,PN,112,1,1790.96
1,DIAMOND PENDANT,PN,112,1,1629.48
1,DIAMOND PENDANT,PN,112,1,1699.21
1,DIAMOND PENDANT,PN,112,1,1475.34
